file;uncertain;quiteUncertain;veryUncertain;uncertainDensity;quiteUncertainDensity;veryUncertainDensity
3fb372f27566d9259043549343e0494d0a6f3a90/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/IndentationCalculator.scala;36;10;7;0.033271719038817;0.009242144177449169;0.006469500924214418
3fb372f27566d9259043549343e0494d0a6f3a90/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/Pass1FeatureCalculator.scala;72;26;20;0.0032009958653803406;0.0011559151736095675;8.891655181612057E-4
3fb372f27566d9259043549343e0494d0a6f3a90/gui/src/test/scala/com/kristofszilagyi/sedito/gui/Train.scala;6;5;1;0.002536997885835095;0.0021141649048625794;4.2283298097251583E-4
536b0b3d327d4e64d79c9fcbbf9fb5434a38c2c7/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/CandidateFinder.scala;1;1;1;0.0035460992907801418;0.0035460992907801418;0.0035460992907801418
536b0b3d327d4e64d79c9fcbbf9fb5434a38c2c7/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/LineAlignmentCacher.scala;2;2;2;0.004830917874396135;0.004830917874396135;0.004830917874396135
536b0b3d327d4e64d79c9fcbbf9fb5434a38c2c7/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/Pass1Aligner.scala;2;1;1;0.001936108422071636;9.68054211035818E-4;9.68054211035818E-4
536b0b3d327d4e64d79c9fcbbf9fb5434a38c2c7/aligner/src/test/scala/com/kristofszilagyi/sedito/aligner/BeforeAfterBestContextFeaturesTest.scala;2;2;1;8.928571428571428E-4;8.928571428571428E-4;4.464285714285714E-4
536b0b3d327d4e64d79c9fcbbf9fb5434a38c2c7/gui/src/test/scala/com/kristofszilagyi/sedito/gui/FeatureElimination.scala;1;1;1;0.0016;0.0016;0.0016
536b0b3d327d4e64d79c9fcbbf9fb5434a38c2c7/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainAndDiff.scala;5;2;2;0.0020300446609825416;8.120178643930166E-4;8.120178643930166E-4
536b0b3d327d4e64d79c9fcbbf9fb5434a38c2c7/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;1;1;1;4.139072847682119E-4;4.139072847682119E-4;4.139072847682119E-4
852f1e02e14f822eb8374256e6df2f48b3b8cd9f/gui/src/main/scala/com/kristofszilagyi/sedito/gui/IndentationCalculator.scala;58;20;7;0.024733475479744138;0.008528784648187633;0.0029850746268656717
852f1e02e14f822eb8374256e6df2f48b3b8cd9f/gui/src/test/scala/com/kristofszilagyi/sedito/gui/IndentationCalculatorTest.scala;141;67;57;0.033918691363964394;0.016117392350252585;0.013711811402453693
0efea33aa5f97bf88f0041f73712fe42a37011cd/gui/src/test/scala/com/kristofszilagyi/sedito/gui/Train.scala;3;1;1;6.648936170212766E-4;2.2163120567375886E-4;2.2163120567375886E-4
cbde0e51ec60d38fb17421ec758870ca93ce18a9/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;24;3;2;0.003980759661635429;4.975949577044286E-4;3.317299718029524E-4
fed1e1fa0b3fcd15cbccd7cd80af859e9e4bf4f9/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TestPass2Context.scala;6;2;0;0.004846526655896607;0.0016155088852988692;0.0
fed1e1fa0b3fcd15cbccd7cd80af859e9e4bf4f9/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;27;5;2;0.0037001507468822806;6.852131012744963E-4;2.740852405097985E-4
413a5d903559527ffee43af9aa23ec357af09982/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TestPass2Context.scala;222;78;46;0.03626265926167919;0.01274093433518458;0.007513884351519112
29906531c60ae861e320755bb71d416b262d61d4/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TestPass2Context.scala;23;3;1;0.027090694935217905;0.0035335689045936395;0.001177856301531213
09c548da29ae0cea753e3940c0ee4c0c3425f552/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TestPass2Context.scala;5;1;0;0.008223684210526315;0.001644736842105263;0.0
ad4c427cf9f7f954916939c46eaaf76fa0931995/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;208;99;65;0.01323239391818818;0.006298110566829951;0.004135123099433806
c4320cefb654c3746b5edd07e9ba0a07d365bf0d/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;5;0;0;0.0013462574044157242;0.0;0.0
86296c30ab96f28cf97c71e3751eb83ae2184bac/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/Pass1Aligner.scala;30;16;8;0.016574585635359115;0.008839779005524863;0.004419889502762431
86296c30ab96f28cf97c71e3751eb83ae2184bac/build.sbt;11;2;2;0.0034755134281200632;6.31911532385466E-4;6.31911532385466E-4
86296c30ab96f28cf97c71e3751eb83ae2184bac/gui/src/test/scala/com/kristofszilagyi/sedito/gui/Analyzer.scala;12;2;1;0.010462074978204011;0.0017436791630340018;8.718395815170009E-4
86296c30ab96f28cf97c71e3751eb83ae2184bac/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;81;26;17;0.006827952457219928;0.0021916884430582483;0.0014330270589227008
ccf357ba94fed94dd203a7798beb22d1af6c823c/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;49;20;11;0.021093413689195005;0.008609556607834697;0.004735256134309083
9a273f420bb9e24dbe6adb6dea4629bd419cc35f/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;65;26;14;0.013993541442411194;0.005597416576964478;0.0030139935414424113
d46c279f84c249d97a96ffe7adeba6417a6f402e/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;17;8;3;0.0069786535303776685;0.003284072249589491;0.0012315270935960591
1d4557088590da5412e02b845185e0e3e0127b93/.idea/inspectionProfiles/Project_Default.xml;7;6;6;0.0231023102310231;0.019801980198019802;0.019801980198019802
1d4557088590da5412e02b845185e0e3e0127b93/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/Pass1Aligner.scala;14;7;6;0.008130081300813009;0.0040650406504065045;0.003484320557491289
1d4557088590da5412e02b845185e0e3e0127b93/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;190;87;52;0.01160092807424594;0.005312003907681035;0.003174990841372573
1d4557088590da5412e02b845185e0e3e0127b93/gui/src/test/scala/com/kristofszilagyi/sedito/gui/WholeAlgorithmMeasurer.scala;1;1;1;5.966587112171838E-4;5.966587112171838E-4;5.966587112171838E-4
57fc80afae5bd90ea9afb5eb7bd6eb0dc940e9e8/gui/src/test/scala/com/kristofszilagyi/sedito/gui/WriteFeatures.scala;62;40;31;0.01904761904761905;0.01228878648233487;0.009523809523809525
c54000eb59d2fd8802b358e3c27087aaf72e712a/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainAndDiff.scala;13;5;3;0.004582305252026789;0.0017624250969333803;0.0010574550581600281
c54000eb59d2fd8802b358e3c27087aaf72e712a/gui/src/test/scala/com/kristofszilagyi/sedito/gui/TrainPass2.scala;7;2;0;0.004804392587508579;0.0013726835964310226;0.0
c54000eb59d2fd8802b358e3c27087aaf72e712a/gui/src/test/scala/com/kristofszilagyi/sedito/gui/WriteFeatures.scala;78;35;12;0.03529411764705882;0.01583710407239819;0.005429864253393665
1d388b4ac66e3eb641e9e2f3f0838d22953fa9ee/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/LineAlignmentCacher.scala;5;3;2;0.008361204013377926;0.005016722408026756;0.0033444816053511705
1d388b4ac66e3eb641e9e2f3f0838d22953fa9ee/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/Pass1Aligner.scala;3;2;2;0.0014492753623188406;9.66183574879227E-4;9.66183574879227E-4
1d388b4ac66e3eb641e9e2f3f0838d22953fa9ee/aligner/src/main/scala/com/kristofszilagyi/sedito/aligner/Pass1MetricCalculator.scala;202;83;67;0.0016067962709599415;6.60218269750867E-4;5.329472779916637E-4
1d388b4ac66e3eb641e9e2f3f0838d22953fa9ee/aligner/src/test/scala/com/kristofszilagyi/sedito/aligner/Pass1MetricCalculatorTest.scala;1;1;1;5.10986203372509E-4;5.10986203372509E-4;5.10986203372509E-4
1d388b4ac66e3eb641e9e2f3f0838d22953fa9ee/gui/src/test/scala/com/kristofszilagyi/sedito/gui/FeatureElimination.scala;7;5;3;0.0043969849246231155;0.00314070351758794;0.0018844221105527637
